depot_name,lat,lon
KRM School Gurgaon,28.473289590575256,77.0638275232581
KRM School GK1,28.56340532433784,77.23742892501046
KRM School GK2,28.536884846971564,77.24444368663764
KRM School Faridabad,28.42645625369648,77.35684963367513
KRM School Vaishali,28.649643823675408,77.35061628333416
KRM School Vikaspuri,28.648898947848497,77.07152099257921
KRM School Paschim Vihar,28.683530304161316,77.09937786709438
KRM School Noida,28.560876280520215,77.46878317583345
KRM School Vasundhara,28.659432944002692,77.35847713550186
KRM School Greater Noida,28.451227190813082,77.51812392798509
KRM School Bahadurgarh,28.68613906800207,76.91053229666657